FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length,MaxSpeed,ImoNumber,Gross,SisterShip,Displacement,MainEngineDesigner,MainEngineModel
"SS 2002","","Shipyard Bijlsma","Shipyard Bijlsma Lemmer BV,","Scheepvaartonderneming","N/A","","89,00","","","2999","","","",""
"SS 2002","s Asean Explorer [0] 110100] 0\~| Grrr 1064","0000, Jurong Shipyard Pte Ltd, Singapore","N/A","N/A","N/A","","","","","","","","",""
"SS 2002","","00, Kleven Flore A/S, Norway (hull built at Daewoo-Mangalia, Romania)","Kleven Flora Consult A/S, Norway","eee BP Shipping, UK","N/A","","","","","","","","",""
"SS 2002","","eee  s Hyundai Mipo","N/A","Ahrenkiel","N/A","","","","","","","","",""
"SS 2002","","STX Shipbuilding Co Ltd, Korea","N/A","N/A","N/A","","","","","","","","",""
"SS 2002","","N/A","N/A","Royal Boskalis","N/A","","","","","","1","","",""
"SS 2002","","Daewoo Shipbuilding & Marine","Daewoo Shipbuilding & Marine","6 CP Ships/Contship","N/A","","","","","","","","",""
"SS 2002","","Chantiers de |'Atlantique, (Alstom), France","N/A","s P&O Princess","N/A","","","","","","","","",""
"SS 2002","","STX Shipbuilding Co Ltd, Korea","Peters Schiffoau AG, Germany a | UK","s M/S ‘Euro Squall’","N/A","","","","","","Nil (2 for other owners)","","",""
"SS 2002","s  Finntighter","eee Stocznia Gdynia","Daewoo Shipbuilding & Marine","B&N Nordsjéfrakt,","N/A","","","","","","","","",""
"SS 2002","eee Hong Kong Express","IZAR (Seville yard), Spain","Arch A Johansen/Shipyard/Owner,","Trasmediterranea SA, Spain","N/A","","","","","","eee e es Nil","","Leese , Deltamarin, Finland","MARIN, The Netherlands"
"SS 2002","","068 Hanjin Heavy Industries & Construction Co Ltd, Korea","N/A","France Telecom Marine, France","N/A","","124,00","","","","Nil (but variants to","","","KRISO, Korea"
"SS 2002","","Aker Finnyards OY, Finland","5, Aker Finnyards OY, Finland","eens Tallink, Estonia","N/A","","","","","","","","",""
"SS 2002","Safmarine Cunene (launched as ER Bremerhaven)","Hyundai Heavy Industries","SSW Fahr-und Spezialschiffbau","ees Stena Ltd, UK","N/A","","","","","","Nil","","Stocznia Gdynia SA, Poland","CTO, Poland [a0 rr Bermuda"
"SS 2002","","N/A","N/A","N/A","N/A","","","","","","","","",""
"SS 2002","","N/A","N/A","Great American Lines Inc,","N/A","","","","","","","","",""
"SS 2002","","cee Croatian Shipbuilding","N/A","N/A","N/A","","","","","","","","",""
"SS 2002","","van der Giessen-de Noord BV, The Netherlands sss, JOISa Proteus","Hijos de J Barreras SA, Spain","rete eens Toisa Ltd, Bermuda/Sealion Shipping Ltd, UK","N/A","","","","","","","","Van der Giessen-de Noord BV, The Netherlands","MARIN, The Netherlands nie (0 eee United Kingdom"
"SS 2002","","Fosen Mek Verksteder","N/A","N/A","N/A","","","","","","","","",""
