FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel
"SS 2013","Almetyevsk","PHC, Zelenodolsk, Russia","","AK BARS Leasing","Russia","","139.99m","","9621558","4,531gt","1","8,819tonnes","","6L20"
"SS 2013","Amber Champion","Chengxi Shipyard Co., Ltd","Shanghai merchant Ship","Ray Champion Shipping","China","15 March 2013","199.85m","","9637210","36,332gt","1","75,196tonnes","MAN B&W","5S60ME-C8.2"
"SS 2013","APL Temasek","Hyundai Samho Heavy","CSSRC","Neptune Orient Line","Korea","28 March 2013","368.82m","","9631955","151.963gt","6","195,751tonnes","","11S90ME-C9.2"
"SS 2013","Bahri Abha","Hyundai Mipo Dockyard Co., Ltd","HHI-EMD","Bahri (National Shipping","Korea","14 March 2013","224.96m","","9620944","50,714gt","2","","Wärtsilä","7RT-flex58T-D(Tier II)"
"SS 2013","Bluebird Arrow","Hyundai Mipo Dockyard Co., Ltd","Wärtsilä","Gearbulk (UK) Limited","Korea","5 February 2013","156.96m","","9635377","15,607gt","nil","","Hyundai Heavy Industry Co., Ltd","Hyundai B&W 6S42MC7.1 (Tier II)"
"SS 2013","Brasil Voyager","Samsung Heavy Industries","Hyundai Heavy Industry Co., Ltd","Chevron Shipping Company","Korea","18 January 2013","282.14m","","9637777","83,942gt","nil","","MAN Diesel & Turbo","6S70ME-C8.2"
"SS 2013","Cap Arnauti","HHCI-Phil","Kawasaki Heavy Industries","Zodiac Maritime","Korea","28 May 2013","270.90m","","9629380","69,809gt","1","103,166tonnes","","MAN B&W 6S80ME-C 9.2"
"SS 2013","Cape Green","Japan Marine United Corporation","Hanjin Heavy Industries and","Newport Pioneer One","Japan","29 April 2013","299.99m","","","107,100gt","nil","","MAN B&W","7S65ME-C"
"SS 2013","Cash","SPP Shipbuilding Co., Ltd","Japan Marine United/Nakashima","Geden Line","Korea","1 August 2013","229.00m","","9628087","44,619gt","nil","94,867tonnes","","6S60MC-C(MK8.1)"
"SS 2013","Castorone","Yantai CIMC Raffles","Hyundai Heavy Industries","Saipem Offshore Norway","Germany","2 May 2013","325.00m","","9444194","56,529gt","nil","100,000tonnes","",""
