FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length,MaxSpeed,ImoNumber,Gross,SisterShip,Displacement,MainEngineDesigner,MainEngineModel
"SS 2020","","Hyundai Mipo Dockyard Co., Ltd. Vessel’s name: .................................Al Adailiah","Hyundai Mipo Dockyard Co., Ltd. Country: ................................Republic of Korea","Kuwait Oil Tanker","Kuwait","","Approx. 183m","","9856684","29,888gt","","Hyundai – MAN B&W","6G50ME-C9.5-HPSCR"
"SS 2020","Bajamar Express","Austal","Hyundai Heavy .Industries","Fred Olsen Express","Australia","28 February 2020","118m","","9874296","7,900gt","","","20V8000 M71L"
"SS 2020","Beate Oldendorff","Oshima Shipbuilding Co., Ltd","Kongsberg","Oldendorff Carriers GmbH &","","July 2020","199.995m","","9853022","34,909gt","","Kawasaki Heavy Industries","Kawasaki MAN B&W 6S50ME-B9.5"
"SS 2020","Bo Hai Heng Tong","Yantai CIMC Raffles","Nakashima Propeller","Bohai Ferry Group Co., Ltd","China","18 March 2020","189.9m","","9870680","24,777gt","","MAN B&W","9L32/40 Tier II"
"SS 2020","","Hudong-Zhonghua Shipbuilding (Group) Co., Ltd. Vessel’s name: ............................ Bow Explorer","Lyen Marine","Odfjell","China","29 September 2020","182.88m","","9828211","","","MAN","6G50 ME-C 9.5"
"SS 2020","Celsius Copenhagen","Samsung Heavy Industries","Samsung Heavy Industries","Celsius Shipping / Gunvor","Republic of Korea","August 2020","299.155m","","9864784","119,338gt","","Winterthur Gas & Diesel","W5X72DF"
"SS 2020","CMA CGM Jacques Saadé","Hudong-Zhonghua Shipbuilding (Group) Co., Ltd","Samsung Heavy","CMA CGM","China","October 2020","399.9m","","9839179","236,583gt","","WinGD","12X92DF"
"SS 2020","CMA CGM Tenere","Hyundai Samho Heavy","MMG","Eastern Pacific Shipping","Republic of Korea","22 September 2020","365.99m","","9859117","150,844gt","","MAN-ES ME-GI ENGINE","11G90ME-C10.-GI-EGRTC"
"SS 2020","CNTIC VPower Global","Cosco Shipping Heavy","Hyundai Heavy","CNTIC VPower LNG","China","September 2020","176.80m","","9696735","23,516gt","","","9L50DF"
"SS 2020","CSSC Cape Town","CSSC Huangpu Wenchong","Wärtsilä","Fortune Central Shipping","China","9 April 2020","254.92m","","9853888","66,786gt","","Two-stroke, single-acting, direct reversible crosshead type marine diesel engine with constant pressure turbocharging","CD-MAN-B&W 6G60ME-C9.5 Tier II"
