FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length,MaxSpeed,ImoNumber,Gross,MainEngineDesigner,MaunEngineModel
"CSVFiles/SSS 2003,csv","A","M","M","U","B","A","22,00","10,00","","","Mitsubishi","S6MPTA"
"CSVFiles/SSS 2003,csv","Á","M","S","N","N","M","94,00","15,00","","5530","Wärtsilä","6L26A; 8L26A"
"CSVFiles/SSS 2003,csv","B","A","A","F","S","O","66,00","40,00","","2578","MAN B&W","2 x 18VP185 and 2 x 12VP185"
"CSVFiles/SSS 2003,csv","C","H","S","C","M","A","61,00","12,00","","1570","Caterpillar","3508B DITA"
"CSVFiles/SSS 2003,csv","C","D","5,50m","T","I","A","65,00","","","","Wärtsilä","2 x 9L20, 1 x 6L20"
"CSVFiles/SSS 2003,csv","C","E","E","E","U","F","85,00","","","","Caterpillar","3608 Diesels"
"CSVFiles/SSS 2003,csv","C","U","C","C","M","A","30,00","13,00","","413","Caterpillar","3606 MAR"
"CSVFiles/SSS 2003,csv","E","U","R","U","T","J","25,00","13,00","","27112","Deutz","SBV 6 M 628"
"CSVFiles/SSS 2003,csv","F","D","N","S","U","2 24 4 F","72,00","","","","MTU","16V 595 TE70"
"CSVFiles/SSS 2003,csv","F","V","V","D","N","J","15,00","11,00","","","Volvo Penta","D12-550"
"CSVFiles/SSS 2003,csv","F","S","3,05m","S","U","2 22 2 M","35,00","13,00","","365","Mitsubishi","S12R - MPTA"
"CSVFiles/SSS 2003,csv","F","W","C","N","H","M","28,00","27,00","","220","MTU","MTU12V2000M70"
"CSVFiles/SSS 2003,csv","F","I","I","N","H","O","41,00","17,00","","694","MTU","12V 2000 M70"
"CSVFiles/SSS 2003,csv","F","D","F","R","S","U","16,00","41,00","","","Scania","DSI 14 52M23V"
"CSVFiles/SSS 2003,csv","G","B","I","N","U","A","75,00","15,00","","2786","MaK","6M25"
"CSVFiles/SSS 2003,csv","H","S","F","A","I","1 14 4 J","10,00","27,00","","","Caterpillar","3126"
"CSVFiles/SSS 2003,csv","H","A","K","U","U","H","90,00","15,00","","3778","MAN B&W","Ruston 6RK270"
"CSVFiles/SSS 2003,csv","L","S","I","N","E","M","11,00","26,00","","61","Cummins","6,BTA,5,9M"
"CSVFiles/SSS 2003,csv","R","R","R","B","S","M","83,00","40,00","","","MAN B&W","Paxman 18VP185"
"CSVFiles/SSS 2003,csv","R","N","N","R","U","M","39,00","41,00","","342","MTU","12V4000 M70"
"CSVFiles/SSS 2003,csv","S","I","I","O","N","M","41,00","36,00","","","MTU","16V 4000 M70"
"CSVFiles/SSS 2003,csv","S","S","S","E","S","N","40,00","25,00","","219","MTU","162000 M60"
"CSVFiles/SSS 2003,csv","S","A","A","K","A","D","50,00","15,00","","771","Caterpillar","3512B"
"CSVFiles/SSS 2003,csv","S","I","R","U","U","1 15 5 A","97,00","45,00","","","Caterpillar","3618"
"CSVFiles/SSS 2003,csv","T","I","N/A","I","N/A","O","28,00","","","","Wärtsilä","9L2/0"
"CSVFiles/SSS 2003,csv","U","B","B","H","N/A","2 20 0 J","89,00","","","3150","Mak","6M25"
"CSVFiles/SSS 2003,csv","V","K","V","E","N","1 14 4 A","94,00","","","5014","Wärtsilä","6L32DF"
"CSVFiles/SSS 2003,csv","V","H","H","M","S","6 6 J","78,00","17,00","","3715","Wärtsilä","8L26"
"CSVFiles/SSS 2003,csv","Z","A","A","C","U","A","43,00","30,00","","","Cummins","KTA38-M2"
