FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SSS 2007","Bocas Del Toro","Cheoy Lee Shipyards Ltd","Robert Allan Ltd","Panama Canal Authority","Panama","January 2007","27.40m","","","","3","","Wärtsilä","9L20","2"
"SSS 2007","Bourbon Trieste","Shipyard De Hoop Lobith","-","Bourbon Offshore","France","27 September 2007","85.2m","","","","1","","","","2"
"SSS 2007","Bugsier 6; Bugsier 4; Bugsier 5","ASL Shipyard","Kooren Shipbuilding and Trading","Bugsier Reederei Hamburg","Germany","Bugsier 6, December 2007;","28.30m","12knots","","","1","456tonnes","Wärtsilä","8L20C","3"
"SSS 2007","Burak","Damen Shipyards Gorinchem","Damen Shipyards Gorinchem","Istanbul Metropolitan","Turkey","March 2007","42.90m","","","","5","","Caterpillar","C32","4"
"SSS 2007","Don Inda","Astilleros Zamakona","Rolls-Royce","Maritime Safety Authority","Spain","January 2007","80.60m","17.6knots","","","2","","Bergen","40 long stroke","4"
"SSS 2007","Edda Fram","Astilleros Gondan SA","Skipsteknisk A/S","Østensjø Rederi A/S","Norway","June 2007","85.80m","15.5knots on 28tonnes/day","","3800gt","-","","Voith","VSP36R6","2"
"SSS 2007","Elyah and Assad","Grandweld","Robert Allan Ltd","Abu Dhabi National Oil","United Arab Emirates","30 September 2007/Assad: 28 October 2007","19.80m","11.94knots","","124gt","4","239.2tonnes","MTU","8V 4000 M60","2"
"SSS 2007","Far Sapphire","Aker Yards Langsten","Rolls-Royce","Farstad Shipping ASA","Norway","December 2007","92.70m","17.4knots","","7176gt","0","","Rolls-Royce","40L8P","4 with catalytic converters"
"SSS 2007","First and Ten","Bollinger Shipyards Inc","Guido Perla & Associates Inc","Rigdon Marine","USA","August 2007","57.95m","13knots","","1600gt","2","","Cummins","2 x Cummins KTA-50DM1; 1 x Cummins",""
"SSS 2007","Geograph","Fjellstrand A/S","GlesværShip Design A/S","Geo ASA","Norway","October 2007","70m","17knots","","2600gt","0","","Caterpillar","3612TA","2"
"SSS 2007","Grampian Talisman","Balenciaga Shipyard","IMT Marine Consultants","North Star Shipping Ltd","Scotland","August 2007","78.30m","13.00knots","","2900gt","0","","MaK","6M25","2"
