FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length,MaxSpeed,ImoNumber,Gross,SisterShip,Displacement,MainEngineDesigner,MainEngineModel
"SSS 2012","Alison MacGregor","Blyth Workcats","","","UK","July 2012","11m","19knots","","8tonnes","","Twin Disc",""
"SSS 2012","Bergesen D.Y","Swede Ship Marine","Swede Ship Marine","Redningsselskapet","Norway","April 2012","14.25m","38knots","","","","Cummins","QSC8.3"
"SSS 2012","Bolt 18","Mylne Yacht Design","Mylne Yacht Design","Mylne Yacht Design","UK","September 2012","5.5m","30+knots @100% MCR","","","","Regen Nautic & UQM","PowerPro 100"
"SSS 2012","BRAtt 880-SU","Adrenalin Marine","Robert Allan Ltd","Oil Sands","Canada","October 2012","9m","8.5knots","","13.5tonnes","","Cummins","QSB 5.9-230 HD"
"SSS 2012","CWind Astute","CTruk","CTruk / Nigel Warren","Coastal Marine","UK","August 2012","19.9m","26knots","","61tonnes","","Cummins","QSM11"
"SSS 2012","Doňa Clary","Cotecmar","Robert Allan Ltd","Serviport","Colombia","July 2012","37.47m","13.8knots","","745tonnes","","Caterpillar","3516C HD"
"SSS 2012","El Chalten","Cheoy Lee Shipyards","Wärtsilä Ship Design","Kalenys Ship Management","","September 2012","58m","12knots","","1,330tonnes","","Caterpillar","3516C"
"SSS 2012","Esvagt Aurora","Astilleros Zamakona","Ulstein Design","Esvagt","Denmark","July 2012","87m","","","","","MAN",""
"SSS 2012","Gazpromneft Nordwest","Gisan Shipyard","Delta Marine","Gazpromneft Marine Bunker","Russia","January 2012","72.62m","12.5knots","","1,764tonnes","","Yanmar","6N21A-UV"
"SSS 2012","Grampian Don","Astilleros Balenciaga","OSD-IMT","Craig Group/ North Star Shipping","UK","Jan 2012","50.7m","13knots","","1343tonnes","","MAK","6M20"
"SSS 2012","Harro Koebke","Fassmer","2.6m","DGzRS","Germany","April 2012","36.45m","25knots","","","","MTU","Type 16V 4000 M71 (main) / Type 8V 4000 M70 (side engines)"
"SSS 2012","HAWC12","Wang Tak Engineering & Shipbuilding Co, Ltd. Designer....................................... Icarus Marine","0.9m","HAWC Technologies Ltd. Country.............................................Hong Kong","","October 2012","12.46m","36+knots","","","","MarineDiesel","VGT-400"
"SSS 2012","Interceptor","Safehaven Marine","Frank Kowalski","To be confirmed","Ireland","To be confirmed","11.7m","29knots","","17tonnes","","Volvo","D9"
"SSS 2012","KBV 312","Baltic Workboats","Baltic Workboats","Swedish Coast Guard","Sweden","May 2012 2012 saw the delivery of the first in a series of five versatile coastguard vessels, destined primarily for maritime surveillance, border and fisheries control, environmental protection, firefighting and rescue and civil protection and diving operations. Following a successful tender in 2009, Estonia’s Baltic Workboats was awarded the contract to design and build five new fast patrol vessels for the Swedish Coast Guard, with specified requirements including the lowest possible vessel lifecycle costs, high efficiency, high working environment standards and the lowest possible impact on the environment. The 26.5m KBV 312 design is based on Baltic","26.5m","34knots","","80tonnes","","Volvo Penta","D13"
"SSS 2012","Lady Anna","Groningen Shipyard","Groot Ship Design / Conoship International","Wijnne Barends","Netherlands","January 2012","88m","","","2,544tonnes","","Caterpillar","3508"
"SSS 2012","Mary D Odyssey","Austal","Austal","Mary D Enterprises","New Caledonia","January 2012","35.2m","","","","","MTU","12V 2000 M72"
"SSS 2012","Ocean Wave","Bollinger Shipyards","Jensen Maritime Consultants","Crowley Maritime Corp. Country........................................................... US","","September 2012","44.5m","","","1,600tonnes","","Caterpillar","C-280-12 Tier II"
"SSS 2012","Oceanic","Shipkits / Hartman","Hartman Marine / Conoship International","Global Seatrade / Amasus Shipping","Netherlands","July 2012","92.9m","12.5knots","","2,979tonnes","","Wärtsilä","6L20"
"SSS 2012","Owaijah II","Alnmaritec Ltd","Alnmaritec Ltd","SMIT","Qatar","February 2012","13.2m","42knots","","","","Cummins","QSC600"
"SSS 2012","Polaris","Barkmeijer Stroobos","Conoship International / Barkmeijer Stroobos / Groot Ship Design","Nederlands Loodswezen","Netherlands","October 2012","81.2m","16.5knots","","2,501tonnes","","Caterpillar","C32 / C18"
"SSS 2012","Preventer","Lochin Marine International","Amgram Ltd","Hampshire Police Authority","UK","September 2012","11.1m","27knots","","approx. 14tonnes","","Cummins","QSB5.9"
"SSS 2012","Sajo Columbia","Sungdong Shipbuilding &","Sungdong Shipbuilding &","","Korea","August 2012","79.56m","17knots","","1,014tonnes","","Niigata Power System","Niigata 8MG34HX"
"SSS 2012","Sanaborg","Royal Niestern Sander","Royal Niestern Sander","Wagenborg Offshore","Netherlands","August 2012","68.2m","13.6knots","","1,520tonnes","","Caterpillar","3516C – Tier II"
"SSS 2012","Signet Constellation","Trinity Offshore","Robert Allan Ltd","Signet Maritime","US","February 2012","30.48m","13.5knots","","479tonnes","","Caterpillar","C175-16"
"SSS 2012","Simon Stevin","Kocurek","Damen Shipyards / VLIZ","Shire Maritime","UK","May 2012","36m","","","","","Macduff Ship Design",""
"SSS 2012","","","“Many of the existing foreign designs in the marketplace were originally designed for operation in inland waters… [so] it was considered that a new, purpose-designed range of vessels could offer superior sea-keeping qualities, improved performance and more economical operating costs.”","","","July 2012","26m","","","","","Twin Disc",""
"SSS 2012","Vitus Bering","Arctech Helsinki Shipyard","Arctech Helsinki Shipyard","Sovcomflot","Finland","December 2012","99.9m","","","","","Wärtsilä","6L32 (x2) / 12V32 (x2)"
"SSS 2012","Vroon 01","DELTA Power Group","DELTA Power Group","Vroon Offshore Services","Netherlands","December 2012","10.06m","34knots","","","","Yanmar","6BY-260"
"SSS 2012","WARNEMÜNDE (NB 575)","N Sundin, Dockstavarvet","JB Seaform / Dockstavarvet","Wasser- und","Germany","December 2012","19.4m","25knots","","56tonnes","","Volvo Penta","D16-MH"
"SSS 2012","Wildcat 3","Blyth Workcats","Blyth Workcats","Wildcat Marine","UK","May 2012","17.5m","26knots","","18.38tonnes","","MAN Diesel","D2848 LE422-750"
"SSS 2012","Wind Servant","Mobimar Ltd","Pauli Immonen","Auramare Ltd","Finland","August 2012","18m","","","38tonnes","","MAN B&W","D2842LE410"
