FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel
"SSS 2019","Atlantic Titan","Shipbuilding Asia","Macduff Ship Design Ltd","Hill Enterprises Ltd / Steve Piercey","Canada","June 2019","","10,5knots","","499","0","800tonnes","Yanmar","6EY 17W"
"SSS 2019","Bremen","Baltic Workboats","Baltic Workboats","General Directorate of","Germany","April 2019","23,99m","25knots","","91","3","56tonnes","MTU","MTU 8V 2000 M72"
"SSS 2019","Chasewell","Wight Shipyard Co","Chartwell Marine","TBC","UK","Completed June 2019","9,64m","27,5knots","","4","N/A","5,95tonnes","Volvo Penta","D3-200"
"SSS 2019","Combat Boat 90 HSM 591 – 608 (18 boats)","N, Sundin Dockstavarvet AB","Swedish Defence","Swedish Royal","Sweden","September 2019","16,3m",">40knots","","","6","24,4tonnes","Scania","DI16"
"SSS 2019","CP-8001","Japan Marine United","GustoMSC","Penta-Ocean","Japan","Q1 2019","","6knots","","","N/A","","",""
"SSS 2019","The “Dan McGrew”","Rozema Boat Works","Capilano Maritime Design Ltd","JDS Energy & Mining Inc","Canada","June 2019","11,99m","10knots","","1499","0","53,35tonnes","John Deere","6068AFM85"
"SSS 2019","Ellen","Søby Shipyard","Jens Kristensen","ARO-ferries","Denmark","July 2019","59,4m","14,2knots","","996","0","933tonnes","Danfoss Editron","EM-PMI540-T4000-1600-"
"SSS 2019","e-Oshima","Hongawara Ship Yard Co","Oshima Shipbuilding Co","Yamane Shipping Co, / Y,S, Marine Co","Japan","May 2019","64,97m","11,12knots","","497","0","1,930,69tonnes","Yanmar","6EY22AW"
"SSS 2019","E-TWO","Damen Shipyards Group","Damen Shipyards Group","EMAR Offshore Services","Netherlands","March 2019","28,58m","13,6knots","","299","0","512tonnes","Caterpillar","3512C TA HD/D"
"SSS 2019","F180EC1","Sakun C, Innovation","Albatross Marine Design","Chao Phraya River Line","Thailand","January 2019","18,15m","20","","","4","35tonnes","Cummins","N855-M"
"SSS 2019","GİSAŞ Power","TK Tuzla","Navtek Naval Technologies","GİSAŞ","Turkey","October 2019 2019 saw Turkey launch what has been billed as the world’s first all-electric tug, reliant solely on battery power for bollard pull","18,7m","10knots","","112","0","177,17tonnes","Siemens","1LH1223-4BB32-2AA0-Z"
"SSS 2019","Herjólfur","CRIST S,A","CRIST S,A, / StoGda","Vegagerðin","Iceland","June 2019","71,78m","15,6knots","","","0","2,010tonnes","MTU","12V4000B04"
"SSS 2019","HODOR","Astilleros Armon","Incat Crowther","Undisclosed","Undisclosed","April 2019","66,2m","22,5knots","","1525","0","551tonnes","MTU","16V 4000 M73L SCR"
"SSS 2019","Ishin","Kanagawa Dockyard Co","Kanagawa Dockyard Co","Mitsui O,S,K, Lines (MOL)","Japan","February 2019","43,6m","16,4knots","","247","0","","Yanmar","6EY26DE"
"SSS 2019","MO5","AFAI","Walker Marine Design","Mainprize Offshore Limited","UK","September 2019","25,43m","26knots@100% MCR","","1495","0","165,6tonnes","Caterpillar","C32 D-rating"
"SSS 2019","Nora B","Neptune Marine","Neptune Marine","Zumaia Offshore","Spain","April 2019","36m","11knots","","492","0","750tonnes","Caterpillar","C32"
